Date,Meal,Calories
2026-02-17,"Egg bites, hashbrown, and guac",330
2026-02-17,Ham sandwich from La Gourmandine,520
2026-02-18,Quarter of Chicken Parm Sandwich and a Choba,490
2026-02-17,Quinoa salad,350
2026-02-18,Quinoa Salad,310
2026-02-18,"Hot dog, peppers, and tomatoes with balsamic glaze",400
2026-02-19,Jamaican patty,380
2026-02-19,Nectarine,60
2026-02-19,Pepperoni Roll,480
2026-02-19,Cheese wedge,25
2026-02-19,Cocobite,90
2026-02-19,Zucchini and meatballs,175
2026-02-20,Overnight Oats,350
2026-02-20,Nectarine,60
2026-02-20,Peanut bar,160
2026-02-20,Sushi,600
2026-02-20,Miso,30
2026-02-21,"2 hard-boiled eggs, raspberries, smoked salmon, and a half nectarine",260
2026-02-21,Canadian bacon sandwich with tomato onion and relish,415
2026-02-21,Three chicken tacos,450
2026-02-21,raspberries,75
2026-02-22,"two boiled eggs, raspberries, half a slice of toast and cheese",315
2026-02-22,Costco Quinoa Salad,315
2026-02-22,Nectarine,60
2026-02-22,Three chicken tacos with pico and salsa,430
2026-02-22,Crackers and cheese,95
2026-02-23,Chobi Yogurt,120
2026-02-23,Peanut butter granola bar,170
2026-02-23,Blount Clam Shack Thai Coconut Shrimp Soup,300
2026-02-23,"Sweet potato with blue cheese, broccoli and grilled chicken",300
2026-02-24,Belgian Waffle,250
2026-02-24,Chobi yogurt,170
2026-02-24,Costco Quinoa Salad with Chicken Meatballs,540
2026-02-24,Nectarine,60
2026-02-24,Greenridge Beef Stick,180
2026-02-23,Chicken tenders with buffalo sauce and blue cheese,250
2026-02-23,Sweet peppers,50
2026-02-25,"Caribbean Food Delights Jamaican Style Spicy Beef Patties, 5 oz",380
2026-02-25,Nectarine,60
2026-02-25,Quinoa salad,180
2026-02-25,Piece of beef stick,40
2026-02-25,Granola fruit bar,200
2026-02-25,Whey Isolate Protein Shake,120
2026-02-25,Chicken tenders and sweet peppers,220
2026-02-26,1/2 smoked turkey breast sandwich with wpinach,300
2026-02-26,"Tomato, basil, and feta soup",200
2026-02-26,1 cup of rice,200
2026-02-26,Arugula spinach salad,150
2026-02-26,Honeydew mellon,50
2026-02-26,Chicken stir fry with pineapple mushrooms and zucchini,300
2026-02-27,Jamaican patty,380
2026-02-27,Spinach salad with chicken tenders and ranch dressing,185
2026-02-27,Chicken tacos with pico,455
2026-02-27,Raspberries,35
